F-001	TOOLING	S3	12 errors
F-002	DEFECT	S2	`()` is not accepted as a value of type `void`.
F-003	DEFECT	S2	`import a.b.c` does not bind `c`.
F-004	DEFECT	S2	importing a module that does not exist is silently accepted.
F-005	DEFECT	S3	every E2020 type mismatch carries a note about numeric conversion.
F-006	DEFECT	S4	N1 suggestion quality
F-007	ERRATUM	S3	the showcase program passes a `str` literal where a `String` is required.
F-008	DEFECT	S3	one bad character reports once per byte.
F-009	DEFECT	S3	"not implemented in this phase" reuses `E1010`
F-010	DEFECT	S3	cascades after a failed import.
F-011	DEFECT	S3	cascade after a private constructor.
F-012	DEFECT	S1	`println` of any `String`, including every f-string, emits C that does not compile.
F-013	TOOLING	S2	"accepted by Ember, rejected by the C compiler" is a whole defect class with no gate.
F-014	DESIGN	S2	a name assigned in every branch of an `if`/`else` is not visible after it.
F-015	DEFECT	S3	`if x = 5:` (a `==` typo) gets a misleading fix.
F-016	ERRATUM	S4	the 0.8.2c change log says there is no if-let; the grammar has one.
F-017	ERRATUM	S3	the EBNF still contains what `[GRM-16]` and `[GRM-11]` delete.
F-018	DESIGN	S3	two path separators, `.` and `::`.
F-019	DESIGN	S3	`as` binds tighter than unary minus.
F-020	ERRATUM	S4	`@deprecated` has two signatures
F-021	ERRATUM	S3	`@nopanic` is listed as v2 in the attribute table, while the 0.8.4_Hardened_1 change log calls `@nopanic(explicit)` one of Ember's current c
F-022	ERRATUM	S4	a pasted editorial instruction inside `[BLD-11]`
F-023	DEFECT	S3	`E1020` means two things in the compiler.
F-024	DESIGN	S3	`[GRM-14]` adds a third kind of generic parameter (`access P`) for one library type, `std.ecs.Query`.
F-025	DESIGN	S3	`[LEX-22]` reserves `'a` for "v2 named lifetimes".
F-026	TOOLING	S4	`[LEX-2]`: the formatter writes the platform's line ending by default.
F-027	ERRATUM	S4	`[LEX-15]` still says "The reserved set therefore has 48 entries"
F-028	ERRATUM	S4	the Part I.4 table still promises "~2 ns per access pair"
F-029	DEFECT	S2	`xs = Array[i32]()` is rejected: the explicit type argument is ignored.
F-030	ERRATUM	S3	`min`, `max` and `clamp` are used as free functions and declared nowhere.
F-031	DESIGN	S2	strings are the biggest Python-ergonomics gap.
F-032	ERRATUM	S3	`[TYP-15]` and `[TYP-15a]` disagree about containers of static views.
F-033	ERRATUM	S3	`<<` overflow is undefined by the text.
F-034	ERRATUM	S4	`[TYP-13]` guarantees a niche for `*fn`
F-035	ERRATUM	S3	`as?` / `as!` are used in IV.6 and absent from the grammar.
F-036	DESIGN	S3	`@view` is required on a struct the compiler already knows is a view
F-037	DESIGN	S3	the default integer is `i32`.
